x_path2d,y_path2d,z_path2d
525,0,130
520.1056516,30.90169944,130
505.9016994,58.77852523,130
483.7785252,80.90169944,130
455.9016994,95.10565163,130
425,100,130
394.0983006,95.10565163,130
366.2214748,80.90169944,130
344.0983006,58.77852523,130
329.8943484,30.90169944,130
325,0,130
329.8943484,-30.90169944,130
344.0983006,-58.77852523,130
366.2214748,-80.90169944,130
394.0983006,-95.10565163,130
425,-100,130
455.9016994,-95.10565163,130
483.7785252,-80.90169944,130
505.9016994,-58.77852523,130
520.1056516,-30.90169944,130
525,0,130
