x_path2d,y_path2d,z_path2d
525,0,10
520.1056516,30.90169944,10
505.9016994,58.77852523,10
483.7785252,80.90169944,10
455.9016994,95.10565163,10
425,100,10
394.0983006,95.10565163,10
366.2214748,80.90169944,10
344.0983006,58.77852523,10
329.8943484,30.90169944,10
325,0,10
329.8943484,-30.90169944,10
344.0983006,-58.77852523,10
366.2214748,-80.90169944,10
394.0983006,-95.10565163,10
425,-100,10
455.9016994,-95.10565163,10
483.7785252,-80.90169944,10
505.9016994,-58.77852523,10
520.1056516,-30.90169944,10
525,0,10
